ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
40,Bastad,Nordea Open,15/07/2024,ATP250,Outdoor,Clay,1st Round,3,Kotov P.,Garin C.,60,106,821,590,6,4,6,7,6,1,,,,,2,1,Completed,1.8,2,1.85,2.05,1.85,2.1,1.77,2.01
40,Bastad,Nordea Open,15/07/2024,ATP250,Outdoor,Clay,1st Round,3,Norrie C.,Kovalik J.,42,102,1125,607,7,6,6,4,,,,,,,2,0,Completed,1.57,2.38,1.59,2.51,1.61,2.51,1.56,2.39
40,Bastad,Nordea Open,16/07/2024,ATP250,Outdoor,Clay,1st Round,3,Carballes Baena R.,Safiullin R.,54,67,906,785,5,7,7,6,6,3,,,,,2,1,Completed,1.62,2.3,1.61,2.46,1.65,2.46,1.6,2.3
40,Bastad,Nordea Open,16/07/2024,ATP250,Outdoor,Clay,1st Round,3,Tirante T.A.,Faria J.,121,170,508,349,3,6,6,1,6,4,,,,,2,1,Completed,2,1.8,2.11,1.81,2.11,1.85,2.04,1.76
40,Bastad,Nordea Open,16/07/2024,ATP250,Outdoor,Clay,1st Round,3,Monteiro T.,Coria F.,85,69,700,776,6,1,6,3,,,,,,,2,0,Completed,1.73,2.1,1.79,2.13,1.79,2.27,1.71,2.11
40,Bastad,Nordea Open,16/07/2024,ATP250,Outdoor,Clay,1st Round,3,Skatov T.,Daniel T.,223,90,265,676,6,7,6,2,7,6,,,,,2,1,Completed,1.67,2.2,1.68,2.29,1.68,2.35,1.65,2.2
40,Bastad,Nordea Open,16/07/2024,ATP250,Outdoor,Clay,1st Round,3,Yevseyev D.,Muller A.,160,103,370,606,7,5,7,5,,,,,,,2,0,Completed,5.5,1.14,5.58,1.18,5.58,1.18,5.34,1.15
40,Bastad,Nordea Open,16/07/2024,ATP250,Outdoor,Clay,1st Round,3,Ajdukovic D.,Van Assche L.,130,104,478,601,6,3,6,3,,,,,,,2,0,Completed,2.1,1.73,2.13,1.79,2.16,1.79,2.07,1.73
40,Bastad,Nordea Open,16/07/2024,ATP250,Outdoor,Clay,1st Round,3,Nagal S.,Ymer E.,68,202,779,300,6,4,6,3,,,,,,,2,0,Completed,1.53,2.5,1.62,2.42,1.65,2.51,1.56,2.38
40,Bastad,Nordea Open,16/07/2024,ATP250,Outdoor,Clay,1st Round,3,Rocha H.,Ugo Carabelli C.,182,96,329,645,4,6,6,2,6,2,,,,,2,1,Completed,2.38,1.57,2.38,1.64,2.43,1.65,2.33,1.59
