date,prob,market_prob,edge,bet,pnl,cumulative_pnl
2024-02-03,0.4919542326120787,0.49415504552874034,-0.002200812916661632,False,0.0,0.0
2024-02-03,0.5109137657334691,0.5058449544712597,0.005068811262209483,False,0.0,0.0
2024-02-03,0.13648377146865787,0.2032665966748114,-0.06678282520615353,False,0.0,0.0
2024-02-03,0.8870572061424199,0.7967334033251886,0.09032380281723129,True,2.4236873467981774,2.4236873467981774
2024-02-03,0.05306863754656614,0.1656352992780501,-0.11256666173148396,False,0.0,2.4236873467981774
2024-02-03,0.9071092295927016,0.8343647007219499,0.07274452887075167,True,1.885908334544767,4.309595681342945
2024-02-03,0.08821850443721639,0.23678839536947427,-0.14856989093225786,False,0.0,4.309595681342945
2024-02-03,0.8837858937283591,0.7632116046305257,0.12057428909783341,True,2.9473998329716085,7.2569955143145535
2024-02-03,0.5737613222805127,0.5196318959834643,0.05412942629704842,True,-10.0,-2.7430044856854465
2024-02-03,0.4161426667626964,0.4803681040165357,-0.06422543725383928,False,0.0,-2.7430044856854465
2024-02-03,0.8444010640457636,0.6992855023335044,0.14511556171225926,True,-10.0,-12.743004485685447
2024-02-03,0.24949290121737816,0.15823349565231337,0.09125940556506479,True,-10.0,-22.743004485685447
2024-02-03,0.7587412285051146,0.8417665043476866,-0.08302527584257202,False,0.0,-22.743004485685447
2024-02-03,0.8709836603673414,0.8239357137455007,0.04704794662184075,False,0.0,-22.743004485685447
2024-02-03,0.21165309667605214,0.41605170441808315,-0.204398607742031,False,0.0,-22.743004485685447
2024-02-03,0.5416802129116839,0.5388752809673043,0.002804931944379585,False,0.0,-22.743004485685447
2024-02-03,0.20721608662018623,0.3007144976664956,-0.09349841104630938,False,0.0,-22.743004485685447
2024-02-03,0.511932506456362,0.3931004941744075,0.1188320122819545,True,14.666848276169095,-8.076156209516352
2024-02-03,0.41931009560296134,0.4611247190326957,-0.041814623429734354,False,0.0,-8.076156209516352
2024-02-03,0.7492659029330264,0.5593346074916613,0.1899312954413651,True,7.484466673004187,-0.591689536512165
2024-02-03,0.8830332119135773,0.7861856819352997,0.09684752997827761,True,2.583659392797002,1.991969856284837
2024-02-03,0.5171697866357263,0.780449768812232,-0.2632799821765057,False,0.0,1.991969856284837
2024-02-03,0.4588626427408468,0.219550231187768,0.2393124115530788,True,33.770280102211444,35.762249958496284
2024-02-03,0.5831897513118867,0.7590920799981956,-0.17590232868630895,False,0.0,35.762249958496284
2024-02-03,0.258545502705808,0.24090792000180442,0.01763758270400359,False,0.0,35.762249958496284
2024-02-03,0.2988437593781892,0.36410971690599914,-0.06526595752780995,False,0.0,35.762249958496284
2024-02-03,0.6790720155518838,0.6358902830940009,0.043181732457882926,False,0.0,35.762249958496284
2024-02-03,0.09406830031006204,0.2138143180647003,-0.11974601775463826,False,0.0,35.762249958496284
2024-02-03,0.48282751106149424,0.5122451020816429,-0.029417591020148626,False,0.0,35.762249958496284
2024-02-03,0.3144824826924221,0.6068995058255925,-0.29241702313317036,False,0.0,35.762249958496284
2024-02-03,0.49631342097640646,0.48775489791835713,0.008558523058049328,False,0.0,35.762249958496284
2024-02-03,0.6639449662188326,0.5650978124356237,0.09884715378320885,True,7.311248939460804,43.07349889795709
2024-02-03,0.35654335745609084,0.43490218756437626,-0.07835883010828543,False,0.0,43.07349889795709
2024-02-03,0.285763016059483,0.4406653925083387,-0.15490237644885568,False,0.0,43.07349889795709
2024-02-03,0.15487864683400634,0.36967642665307765,-0.2147977798190713,False,0.0,43.07349889795709
2024-02-03,0.8052577234619962,0.6592026199447677,0.1460551035172285,True,4.911350490075376,47.984849388032465
2024-02-03,0.8213552812866679,0.6303235733469224,0.19103170793974555,True,5.57162416527823,53.556473553310695
2024-02-03,0.1752413600404681,0.3407973800552323,-0.1655560200147642,False,0.0,53.556473553310695
2024-02-05,0.27631742496346223,0.4614845178357855,-0.18516709287232325,False,0.0,53.556473553310695
2024-02-05,0.7027840727532881,0.6982999427534541,0.004484129999834052,False,0.0,53.556473553310695
2024-02-05,0.44426976442193966,0.39780013706999684,0.04646962735194282,False,0.0,53.556473553310695
2024-02-05,0.2832588739963272,0.3017000572465459,-0.018441183250218707,False,0.0,53.556473553310695
2024-02-05,0.7672996473111139,0.5523158105730316,0.2149838367380823,True,7.700304279074833,61.25677783238553
2024-02-05,0.2977966695878599,0.4476841894269684,-0.14988751983910853,False,0.0,61.25677783238553
2024-02-05,0.786451837107621,0.4403389552322883,0.34611288187533273,True,12.074289276742606,73.33106710912814
2024-02-05,0.29828119993601804,0.5596610447677117,-0.2613798448316937,False,0.0,73.33106710912814
2024-02-05,0.3115416425926642,0.48331477354788277,-0.17177313095521857,False,0.0,73.33106710912814
2024-02-05,0.8118875306361734,0.7417543002387567,0.0701332303974167,True,3.307475463158258,76.6385425722864
2024-02-05,0.20028689342651443,0.25824569976124334,-0.05795880633472891,False,0.0,76.6385425722864
2024-02-05,0.24840539623254748,0.6183475848603293,-0.3699421886277818,False,0.0,76.6385425722864
2024-02-05,0.7369966215829423,0.6810349946154864,0.05596162696745588,True,4.449356604448376,81.08789917673477
2024-02-05,0.2254822347810207,0.31896500538451356,-0.09348277060349286,False,0.0,81.08789917673477
2024-02-05,0.3796208526049583,0.3761785115301143,0.0034423410748440353,False,0.0,81.08789917673477
2024-02-05,0.6864898754859898,0.5385154821642145,0.1479743933217753,True,8.14108983797624,89.228989014711
2024-02-05,0.7685097366637674,0.5166852264521172,0.2518245102116502,True,8.88643629358811,98.11542530829911
2024-02-05,0.7944803496268175,0.3816524151396708,0.41282793448714666,True,15.391759158718665,113.50718446701778
2024-02-05,0.3368740709022461,0.32118721092874447,0.01568685997350161,False,0.0,113.50718446701778
2024-02-05,0.29843595039748366,0.3707197087246329,-0.07228375832714923,False,0.0,113.50718446701778
2024-02-05,0.6851034430971962,0.47121640215517624,0.21388704094201993,True,10.660588546048862,124.16777301306664
